lane	clients	run	status	tps	starved	carriers_started
fork	8	1	PASS	73491.512813	0	
fork	8	2	PASS	74073.765410	0	
fork	8	3	PASS	74247.963540	0	
fork	16	1	PASS	141765.165166	0	
fork	16	2	PASS	142221.425548	0	
fork	16	3	PASS	142659.230651	0	
fork	32	1	PASS	261733.072542	0	
fork	32	2	PASS	262643.014754	0	
fork	32	3	PASS	261327.026373	0	
fork	64	1	PASS	396322.621138	0	
fork	64	2	PASS	396476.500175	0	
fork	64	3	PASS	395815.670961	0	
fork	128	1	PASS	612711.367144	0	
fork	128	2	PASS	609806.587355	0	
fork	128	3	PASS	608602.002328	0	
fork	192	1	PASS	741702.068507	0	
fork	192	2	PASS	742398.269332	0	
fork	192	3	PASS	744882.466185	0	
fork	256	1	PASS	761343.842324	0	
fork	256	2	PASS	773014.784398	0	
fork	256	3	PASS	773094.787169	0	
fork	384	1	PASS	739647.739411	0	
fork	384	2	PASS	747869.647638	0	
fork	384	3	PASS	750059.588110	0	
tps	8	1	PASS	52540.010873	0	
tps	8	2	PASS	52721.235816	0	
tps	8	3	PASS	52523.293372	0	
tps	16	1	PASS	80293.502209	0	
tps	16	2	PASS	73937.607472	0	
tps	16	3	PASS	78104.386972	0	
tps	32	1	PASS	123942.773256	0	
tps	32	2	PASS	138314.612990	0	
tps	32	3	PASS	142181.227809	0	
tps	64	1	PASS	204070.897505	0	
tps	64	2	PASS	213872.153213	0	
tps	64	3	PASS	219334.758006	0	
tps	128	1	PASS	298928.824664	0	
tps	128	2	PASS	287583.581435	0	
tps	128	3	PASS	291395.428609	0	
tps	192	1	PASS	314134.643622	0	
tps	192	2	PASS	307304.539327	0	
tps	192	3	PASS	310084.022984	0	
tps	256	1	PASS	305327.911828	0	
tps	256	2	PASS	302569.534758	0	
tps	256	3	PASS	318549.436646	0	
tps	384	1	PASS	308292.803829	0	
tps	384	2	PASS	311317.947486	0	
tps	384	3	CRASH(gone)			
pooled	8	1	PASS	73948.398786	0	1
pooled	8	2	PASS	73420.735729	0	1
pooled	8	3	PASS	72036.988026	0	2
pooled	16	1	PASS	140750.451967	0	1
pooled	16	2	PASS	143322.814889	0	2
pooled	16	3	PASS	140755.616564	0	1
pooled	32	1	PASS	262157.922349	0	2
pooled	32	2	PASS	261928.266129	0	2
pooled	32	3	PASS	259650.562008	0	1
pooled	64	1	PASS	258777.531654	20	2
pooled	64	2	PASS	260480.137801	23	1
pooled	64	3	PASS	258236.725531	27	1
pooled	128	1	PASS	260487.013023	87	1
pooled	128	2	PASS	260510.426805	92	2
pooled	128	3	PASS	260937.406486	86	1
pooled	192	1	PASS	259880.823359	152	2
pooled	192	2	PASS	262724.949070	150	1
pooled	192	3	PASS	259727.943547	150	1
pooled	256	1	PASS	258125.995398	217	2
pooled	256	2	PASS	259226.018277	210	1
pooled	256	3	PASS	257883.878431	218	2
pooled	384	1	PASS	251293.896882	346	1
pooled	384	2	PASS	259472.898639	339	1
pooled	384	3	PASS	260141.585217	346	2
SWEEP_COMPLETE
