Linux 6.12.107+deb13-cloud-amd64 (ip-172-31-38-203) 	09/12/26 	_x86_64_	(32 CPU)

19:40:53     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:40:54     all   11.83    0.00    3.54   59.44    0.00    2.07    0.00    0.00    0.00   23.13
19:40:54       0    0.00    0.00    0.00   93.07    0.00    6.93    0.00    0.00    0.00    0.00
19:40:54       1    0.00    0.00    0.00   95.96    0.00    4.04    0.00    0.00    0.00    0.00
19:40:54       2    0.00    0.00    0.00    0.00    0.00   13.00    0.00    0.00    0.00   87.00
19:40:54       3    0.00    0.00    0.00    0.00    0.00    9.38    0.00    0.00    0.00   90.62
19:40:54       4    0.00    0.00    0.00   93.94    0.00    6.06    0.00    0.00    0.00    0.00
19:40:54       5    0.00    0.00    0.98   93.14    0.00    5.88    0.00    0.00    0.00    0.00
19:40:54       6    0.00    0.00    0.00   90.20    0.00    9.80    0.00    0.00    0.00    0.00
19:40:54       7    0.00    0.00    0.00    0.00    0.00   11.00    0.00    0.00    0.00   89.00
19:40:54       8    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:54       9    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:54      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:40:54      11   12.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   84.00
19:40:54      12    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:54      13   77.55    0.00   20.41    2.04    0.00    0.00    0.00    0.00    0.00    0.00
19:40:54      14    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:54      15    7.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
19:40:54      16    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:54      17    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:54      18   76.77    0.00   22.22    1.01    0.00    0.00    0.00    0.00    0.00    0.00
19:40:54      19   74.75    0.00   24.24    1.01    0.00    0.00    0.00    0.00    0.00    0.00
19:40:54      20    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:54      21    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:54      22    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:54      23    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:54      24    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:54      25    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:54      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:40:54      27   61.62    0.00   22.22   16.16    0.00    0.00    0.00    0.00    0.00    0.00
19:40:54      28    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:54      29    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:54      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:40:54      31   71.29    0.00   19.80    8.91    0.00    0.00    0.00    0.00    0.00    0.00

19:40:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:40:55     all   12.04    0.00    3.24   61.95    0.00    1.45    0.00    0.00    0.00   21.32
19:40:55       0    0.00    0.00    0.00   96.91    0.00    3.09    0.00    0.00    0.00    0.00
19:40:55       1    0.00    0.00    0.00   96.97    0.00    3.03    0.00    0.00    0.00    0.00
19:40:55       2    7.45    0.00    1.06    0.00    0.00    8.51    0.00    0.00    0.00   82.98
19:40:55       3    0.00    0.00    0.00    0.00    0.00   11.11    0.00    0.00    0.00   88.89
19:40:55       4    4.12    0.00    0.00   90.72    0.00    5.15    0.00    0.00    0.00    0.00
19:40:55       5    0.00    0.00    0.00   96.00    0.00    4.00    0.00    0.00    0.00    0.00
19:40:55       6    6.19    0.00    1.03   89.69    0.00    3.09    0.00    0.00    0.00    0.00
19:40:55       7   53.54    0.00   11.11    1.01    0.00    9.09    0.00    0.00    0.00   25.25
19:40:55       8    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:55       9    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:55      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:40:55      11    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
19:40:55      12    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:55      13   18.00    0.00    9.00   73.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:55      14    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:55      15    9.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
19:40:55      16    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:55      17    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:55      18   79.80    0.00   19.19    1.01    0.00    0.00    0.00    0.00    0.00    0.00
19:40:55      19   71.00    0.00   24.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:55      20    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:55      21    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:55      22    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:55      23    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:55      24    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:55      25    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:55      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:40:55      27   75.76    0.00   21.21    3.03    0.00    0.00    0.00    0.00    0.00    0.00
19:40:55      28    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:40:55      29   59.60    0.00   13.13   27.27    0.00    0.00    0.00    0.00    0.00    0.00
19:40:55      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:40:55      31    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00

19:40:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:40:56     all   12.10    0.00    3.35   63.68    0.00    1.75    0.00    0.00    0.00   19.12
