# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 119K of event 'task-clock:ppp'
# Event count (approx.): 119732732613
#
# Overhead  Symbol                                            IPC   [IPC Coverage]
# ........  ................................................  ....................
#
     9.97%  [k] finish_task_switch.isra.0                     -      -            
     3.30%  [k] _raw_spin_unlock_irqrestore                   -      -            
     2.59%  [.] _bt_compare                                   -      -            
     2.42%  [.] hash_search_with_hash_value                   -      -            
     2.13%  [k] handle_softirqs                               -      -            
     1.29%  [.] LWLockAttemptLock                             -      -            
     1.12%  [.] __vdso_gettimeofday                           -      -            
     1.07%  [.] LockAcquireExtended                           -      -            
     1.04%  [.] PinBuffer                                     -      -            
     1.01%  [k] do_syscall_64                                 -      -            
     0.97%  [.] palloc0                                       -      -            
     0.95%  [.] AllocSetAlloc                                 -      -            
     0.91%  [.] PgSessionRunProtocolSchedulerUntilBoundary    -      -            
     0.83%  [k] ena_start_xmit                                -      -            
     0.77%  [.] 0x000000000009a72e                            -      -            
     0.77%  [k] _raw_spin_lock                                -      -            
     0.73%  [.] SearchCatCacheInternal                        -      -            
     0.71%  [.] LWLockRelease                                 -      -            
     0.69%  [.] palloc                                        -      -            
     0.67%  [k] do_sys_poll                                   -      -            
     0.66%  [.] hash_bytes                                    -      -            
     0.64%  [.] exec_bind_message                             -      -            
     0.60%  [.] malloc                                        -      -            
     0.55%  [.] LWLockAcquire                                 -      -            
     0.54%  [.] AllocSetFree                                  -      -            
     0.53%  [.] heap_page_prune_opt                           -      -            
     0.48%  [.] LockReleaseAll                                -      -            
     0.46%  [.] pgstat_report_activity                        -      -            
     0.45%  [.] _bt_checkpage                                 -      -            
     0.45%  [.] AllocSetReset                                 -      -            
     0.43%  [.] AllocSetContextCreateInternal                 -      -            
     0.43%  [.] ReceiveSharedInvalidMessages                  -      -            
     0.43%  [.] heap_hot_search_buffer                        -      -            
     0.42%  [.] cfree                                         -      -            
     0.42%  [k] tcp_poll                                      -      -            
     0.42%  [.] FastPathUnGrantRelationLock                   -      -            
     0.42%  [k] ena_xmit_common                               -      -            
     0.41%  [.] SearchSysCache1                               -      -            
     0.40%  [.] hash_seq_search                               -      -            
     0.40%  [k] __tcp_transmit_skb                            -      -            
     0.39%  [.] ResourceOwnerReleaseInternal                  -      -            
     0.39%  [k] mod_memcg_state                               -      -            
     0.36%  [.] _bt_moveright                                 -      -            
     0.36%  [.] socket_putmessage                             -      -            
     0.36%  [k] fdget                                         -      -            
     0.36%  [.] ResourceOwnerForget                           -      -            
     0.34%  [.] stack_is_too_deep                             -      -            
     0.34%  [k] __dev_queue_xmit                              -      -            
     0.33%  [.] FunctionCall2Coll                             -      -            
     0.33%  [.] MemoryContextAllocZero                        -      -            
     0.32%  [k] fput                                          -      -            
     0.32%  [k] read_tsc                                      -      -            
     0.32%  [.] hash_search                                   -      -            
     0.31%  [k] rep_movs_alternative                          -      -            
     0.31%  [.] hash_seq_term                                 -      -            
     0.31%  [k] tcp_recvmsg_locked                            -      -            
     0.30%  [.] PopActiveSnapshot                             -      -            
