# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 82K of event 'task-clock:ppp'
# Event count (approx.): 82543543461
#
# Overhead  Symbol                                            IPC   [IPC Coverage]
# ........  ................................................  ....................
#
     8.78%  [.] guc_name_compare                              -      -            
     7.29%  [.] guc_name_hash                                 -      -            
     6.82%  [.] hash_search_with_hash_value                   -      -            
     6.31%  [k] irqentry_exit_to_user_mode                    -      -            
     2.73%  [.] find_builtin_option                           -      -            
     1.97%  [.] GUCRecordIsCurrentSessionBuiltin              -      -            
     1.67%  [.] _bt_compare                                   -      -            
     1.66%  [.] RebindSessionGUCVariablePointers              -      -            
     1.43%  [k] do_syscall_64                                 -      -            
     1.25%  [k] _raw_spin_unlock_irqrestore                   -      -            
     1.17%  [.] GUCRecordState.part.0                         -      -            
     1.15%  [.] PgRuntimeRefreshCurrentWork                   -      -            
     0.94%  [.] find_option                                   -      -            
     0.87%  [.] hash_search                                   -      -            
     0.75%  [k] _raw_spin_lock                                -      -            
     0.73%  [.] LWLockAttemptLock                             -      -            
     0.73%  [.] swapcontext                                   -      -            
     0.73%  [k] finish_task_switch.isra.0                     -      -            
     0.66%  [.] AllocSetAlloc                                 -      -            
     0.66%  [.] __vdso_gettimeofday                           -      -            
     0.65%  [.] SearchCatCacheInternal                        -      -            
     0.64%  [k] _raw_spin_unlock_irq                          -      -            
     0.64%  [.] PinBuffer                                     -      -            
     0.61%  [k] ena_start_xmit                                -      -            
     0.59%  [.] malloc                                        -      -            
     0.52%  [.] palloc0                                       -      -            
     0.50%  [.] __xtc_exec_try_steal                          -      -            
     0.49%  [.] AllocSetContextCreateInternal                 -      -            
     0.41%  [.] PgSessionRunProtocolSchedulerUntilBoundary    -      -            
     0.38%  [k] rep_movs_alternative                          -      -            
     0.37%  [.] heap_page_prune_opt                           -      -            
     0.36%  [.] LWLockRelease                                 -      -            
     0.35%  [k] fdget                                         -      -            
     0.34%  [.] palloc                                        -      -            
     0.34%  [.] WaitEventSetWait                              -      -            
     0.33%  [.] _bt_checkpage                                 -      -            
     0.32%  [.] AllocSetFree                                  -      -            
     0.32%  [.] LockAcquireExtended                           -      -            
     0.32%  [.] PgCurrentGUCVariableStatesRef                 -      -            
     0.32%  [.] 0x00000000000a03c2                            -      -            
     0.31%  [.] exec_bind_message                             -      -            
     0.31%  [.] 0x000000000009a72e                            -      -            
     0.31%  [k] __tcp_transmit_skb                            -      -            
     0.30%  [.] __libc_calloc                                 -      -            
     0.28%  [.] guc_name_match                                -      -            
     0.28%  [.] hash_bytes                                    -      -            
     0.28%  [.] heap_hot_search_buffer                        -      -            
     0.27%  [.] _bt_moveright                                 -      -            
     0.27%  [.] cfree                                         -      -            
     0.26%  [k] ena_xmit_common                               -      -            
     0.26%  [.] AllocSetReset                                 -      -            
     0.25%  [.] ResourceOwnerForget                           -      -            
     0.25%  [.] PgCurrentSessionGeneralGUCState               -      -            
     0.25%  [.] LWLockAcquire                                 -      -            
     0.25%  [.] LockReleaseAll                                -      -            
     0.24%  [.] StartReadBuffer                               -      -            
     0.24%  [.] hash_seq_search                               -      -            
     0.24%  [.] __xtc_loop_step                               -      -            
     0.23%  [.] FastPathUnGrantRelationLock                   -      -            
     0.23%  [.] pthread_mutex_lock                            -      -            
     0.23%  [k] mod_memcg_state                               -      -            
     0.22%  [.] ResourceOwnerReleaseInternal                  -      -            
     0.22%  [k] tcp_sendmsg_locked                            -      -            
     0.22%  [.] pgstat_report_activity                        -      -            
     0.21%  [.] xtc_proc_wait_fd                              -      -            
     0.20%  [.] pq_getmessage                                 -      -            
     0.20%  [.] ExecIndexBuildScanKeys                        -      -            
     0.20%  [k] sock_poll                                     -      -            
     0.20%  [.] ExprEvalPushStep                              -      -            
     0.19%  [k] __dev_queue_xmit                              -      -            
     0.19%  [.] SearchSysCache1                               -      -            
     0.19%  [.] __queue_pop                                   -      -            
     0.19%  [.] AcquireExecutorLocks                          -      -            
     0.19%  [k] x64_sys_call                                  -      -            
     0.19%  [.] stack_is_too_deep                             -      -            
     0.19%  [.] PgCurrentSessionAccessWalGUCState             -      -            
     0.18%  [.] FunctionCall2Coll                             -      -            
     0.18%  [.] pq_getmsgint                                  -      -            
     0.18%  [.] socket_putmessage                             -      -            
     0.18%  [.] pq_probe_message_type                         -      -            
     0.18%  [k] handle_softirqs                               -      -            
     0.17%  [k] mutex_lock                                    -      -            
     0.17%  [.] UnlockReleaseBuffer                           -      -            
     0.17%  [.] RelationIdGetRelation                         -      -            
     0.17%  [.] 0x00000000000033ca                            -      -            
     0.17%  [k] tcp_recvmsg_locked                            -      -            
     0.16%  [.] MemoryContextAllocZero                        -      -            
     0.16%  [.] hash_seq_term                                 -      -            
     0.16%  [.] __tls_get_addr                                -      -            
     0.16%  [k] fget                                          -      -            
     0.16%  [.] 0x000000000017585e                            -      -            
     0.16%  [k] skb_attempt_defer_free                        -      -            
     0.16%  [k] kmem_cache_alloc_node_noprof                  -      -            
     0.16%  [k] tcp_poll                                      -      -            
     0.15%  [k] __check_object_size                           -      -            
     0.15%  [k] fput                                          -      -            
     0.15%  [.] PortalRun                                     -      -            
     0.15%  [.] _bt_binsrch                                   -      -            
     0.15%  [.] expr_setup_walker                             -      -            
     0.14%  [.] __xtc_timer_heap_next_deadline                -      -            
     0.14%  [k] do_epoll_wait                                 -      -            
     0.14%  [.] StartTransaction                              -      -            
     0.14%  [.] CommitTransaction                             -      -            
     0.14%  [.] ExecEvalStepOp                                -      -            
     0.14%  [.] 0x00000000000a03d6                            -      -            
     0.14%  [.] 0x00000000000a1240                            -      -            
     0.14%  [.] btint4cmp                                     -      -            
     0.14%  [k] __io_submit_flush_completions                 -      -            
     0.14%  [k] llist_reverse_order                           -      -            
     0.14%  [.] __vdso_clock_gettime                          -      -            
     0.13%  [.] ProcessClientReadInterrupt                    -      -            
     0.13%  [k] futex_wake                                    -      -            
     0.13%  [k] aa_sk_perm                                    -      -            
     0.13%  [.] process_due_logical_timeouts                  -      -            
     0.13%  [.] ReceiveSharedInvalidMessages                  -      -            
     0.13%  [.] PgCurrentSessionConnectionGUCState            -      -            
     0.12%  [.] __lll_lock_wait_private                       -      -            
     0.12%  [.] xtc_io_reg_fd                                 -      -            
     0.12%  [.] SocketBackendStickyIdleWait                   -      -            
     0.12%  [k] __mod_timer                                   -      -            
     0.12%  [.] hash_seq_init                                 -      -            
     0.12%  [.] GetCurrentTransactionNestLevel                -      -            
     0.12%  [k] mutex_unlock                                  -      -            
     0.12%  [.] xtc_io_poll                                   -      -            
     0.12%  [.] _bt_first                                     -      -            
     0.12%  [.] pfree                                         -      -            
     0.12%  [k] tcp_current_mss                               -      -            
     0.12%  [k] memset_orig                                   -      -            
     0.12%  [k] epi_fget.isra.0                               -      -            
     0.11%  [.] expression_tree_walker_impl                   -      -            
     0.11%  [.] GetCachedPlan                                 -      -            
     0.11%  [.] PgCurrentSessionJitGUCState                   -      -            
     0.11%  [k] __iowrite64_copy                              -      -            
     0.11%  [.] PortalStart                                   -      -            
     0.11%  [.] MemoryContextAlloc                            -      -            
     0.11%  [k] llist_add_batch                               -      -            
     0.11%  [.] PgCurrentSessionBufferIOState                 -      -            
     0.11%  [.] standard_ExecutorStart                        -      -            
     0.11%  [.] BufferLockAcquire                             -      -            
     0.10%  [.] _bt_readpage                                  -      -            
     0.10%  [.] exec_execute_message                          -      -            
     0.10%  [.] xtc_yield                                     -      -            
