# file	sha1	names	declaration
src/backend/commands/repack_worker.c	8e46119afd8ca424e9892caadd747816d35a18c0	am_repack_worker	static bool am_repack_worker = false;
src/backend/commands/repack_worker.c	5e911fb813910f039ca90baf2145036f055b17cc	repack_current_segment	static XLogSegNo repack_current_segment = 0;
src/backend/commands/repack_worker.c	d32b0345eaf6f9808d09d7b9713a31c92810829f	worker_dsm_segment	static dsm_segment *worker_dsm_segment = NULL;
src/backend/commands/repack_worker.c	89ec70f5934b72cc630abbc1a4ee223986fb64cf	repacked_rel_locator	static RelFileLocator repacked_rel_locator = {.relNumber = InvalidOid};
src/backend/commands/repack_worker.c	6983f8b9805f8d35050f17920bcfaada492ea01f	repacked_rel_toast_locator	static RelFileLocator repacked_rel_toast_locator = {.relNumber = InvalidOid};
src/backend/nodes/copyfuncs.switch.c	1320862ffc4537240cebab8f49d7a5c6679eb5dc	retval	retval = _copyAlias(from);
src/backend/nodes/copyfuncs.switch.c	3be61440690a2d0d2795d1bf91f6cd3103660024	retval	retval = _copyRangeVar(from);
src/backend/nodes/copyfuncs.switch.c	89243fff5e4c2b8674db1c86aca598c1eb97523b	retval	retval = _copyTableFunc(from);
src/backend/nodes/copyfuncs.switch.c	a67c7cec2107eaed46b3b980fa653bf75510de04	retval	retval = _copyIntoClause(from);
src/backend/nodes/copyfuncs.switch.c	190c027178ccf003f47de8e49452ea797e8dd287	retval	retval = _copyVar(from);
src/backend/nodes/copyfuncs.switch.c	61cfb4cd11273349bc964c6da82e83851003a746	retval	retval = _copyConst(from);
src/backend/nodes/copyfuncs.switch.c	4f16beae7d9ee617b40ffd671d222dcf376f85c1	retval	retval = _copyParam(from);
src/backend/nodes/copyfuncs.switch.c	6a16a7914f7afd30f500a916e1ab1bed3bd3c0a7	retval	retval = _copyAggref(from);
src/backend/nodes/copyfuncs.switch.c	fa9e496f3478dd10a7fc40db103f7e25a28f1591	retval	retval = _copyGroupingFunc(from);
src/backend/nodes/copyfuncs.switch.c	8ebde89fbf794b3f06ba1633f8258e3380911a42	retval	retval = _copyWindowFunc(from);
src/backend/nodes/copyfuncs.switch.c	ce132893fbbb9e813c145d700d6d2a36647dbeb0	retval	retval = _copyWindowFuncRunCondition(from);
src/backend/nodes/copyfuncs.switch.c	f47c4ed865bb467fcd519a38b336a7b885018b31	retval	retval = _copyMergeSupportFunc(from);
src/backend/nodes/copyfuncs.switch.c	f476e96a5842b591d91e1f69360a375d696a4be8	retval	retval = _copySubscriptingRef(from);
src/backend/nodes/copyfuncs.switch.c	d573cb275455ff4434e2151c2bb786f71f919fcd	retval	retval = _copyFuncExpr(from);
src/backend/nodes/copyfuncs.switch.c	b42a8308f8661282654b0e278f992467eee9a641	retval	retval = _copyNamedArgExpr(from);
src/backend/nodes/copyfuncs.switch.c	66675a8182edada07f1eb737b24b5ed1e474d552	retval	retval = _copyOpExpr(from);
src/backend/nodes/copyfuncs.switch.c	ceac6ec22f3e8234c20a9f2103ceed0e32ffe1ac	retval	retval = _copyDistinctExpr(from);
src/backend/nodes/copyfuncs.switch.c	d70c4b8664c614e110c78c2ef445823f05a50e20	retval	retval = _copyNullIfExpr(from);
src/backend/nodes/copyfuncs.switch.c	18b7f7532ecc2e765d23aa61f53e78477c9a3ba1	retval	retval = _copyScalarArrayOpExpr(from);
src/backend/nodes/copyfuncs.switch.c	03d4d0bfe1f7b6e3edef25f9e8070a5544e75288	retval	retval = _copyBoolExpr(from);
src/backend/nodes/copyfuncs.switch.c	5910fba0475b1f01daf2b4aaad499965e7011707	retval	retval = _copySubLink(from);
src/backend/nodes/copyfuncs.switch.c	d230062be93085ed34e27f92b67b8a5eee90dd0e	retval	retval = _copySubPlan(from);
src/backend/nodes/copyfuncs.switch.c	e31a543ee208efb6529a1b219df8eeb3f76b5d9b	retval	retval = _copyAlternativeSubPlan(from);
src/backend/nodes/copyfuncs.switch.c	9e9fdd8fd5c8f8ef25151379c87604726c25969f	retval	retval = _copyFieldSelect(from);
src/backend/nodes/copyfuncs.switch.c	91061792f51a145a955f6c4eef011da8b1e2f033	retval	retval = _copyFieldStore(from);
src/backend/nodes/copyfuncs.switch.c	4da95657e6c14ca8154e8e842b045f95aa2784df	retval	retval = _copyRelabelType(from);
src/backend/nodes/copyfuncs.switch.c	467dd7b6adc4de9b0e5df468bbb8f1eb028a1a6d	retval	retval = _copyCoerceViaIO(from);
src/backend/nodes/copyfuncs.switch.c	78eab827bfaca018f230b4dfe8ccdcd95ea9fcaf	retval	retval = _copyArrayCoerceExpr(from);
src/backend/nodes/copyfuncs.switch.c	a65900c7cbf89bd3f9040830a999536daca34d59	retval	retval = _copyConvertRowtypeExpr(from);
src/backend/nodes/copyfuncs.switch.c	ccae2824d7882b1b77c4239f00397a6757b1775d	retval	retval = _copyCollateExpr(from);
src/backend/nodes/copyfuncs.switch.c	cab1d7820b9cbbe7e7dc4e29661ba211254d8b56	retval	retval = _copyCaseExpr(from);
src/backend/nodes/copyfuncs.switch.c	4a1cf383d54a525b5c9963dfda1a21c0b66819f1	retval	retval = _copyCaseWhen(from);
src/backend/nodes/copyfuncs.switch.c	78fec0437feef3cd3dfae8aef12277762e7d8156	retval	retval = _copyCaseTestExpr(from);
src/backend/nodes/copyfuncs.switch.c	3aa8303839a8e9d022cac818da329301e5afa338	retval	retval = _copyArrayExpr(from);
src/backend/nodes/copyfuncs.switch.c	6c6255474b1553a4fabb7c3427b7f2eec4ed4107	retval	retval = _copyRowExpr(from);
src/backend/nodes/copyfuncs.switch.c	e6cdfea6a8ea1f3a0a2defa3f7e4b69a39f8521d	retval	retval = _copyRowCompareExpr(from);
src/backend/nodes/copyfuncs.switch.c	55871bf27561ec5cae8cb1a527c8839bef675425	retval	retval = _copyCoalesceExpr(from);
src/backend/nodes/copyfuncs.switch.c	bce2a17b1e8ff4aafcd8909a4a8ad7375e9a9779	retval	retval = _copyMinMaxExpr(from);
src/backend/nodes/copyfuncs.switch.c	06889b57f4693a74d1831b5527043a26c80aa763	retval	retval = _copySQLValueFunction(from);
src/backend/nodes/copyfuncs.switch.c	bec8fcea06a900ec8acd683e3d1ae09ec146f671	retval	retval = _copyXmlExpr(from);
src/backend/nodes/copyfuncs.switch.c	48b72f799b19a8710a4b198182a8a284062388ad	retval	retval = _copyJsonFormat(from);
src/backend/nodes/copyfuncs.switch.c	9d964d6a407aeba1ce527f25c8c323ab45599847	retval	retval = _copyJsonReturning(from);
src/backend/nodes/copyfuncs.switch.c	f6521951ccda0ce8c556bc87013dd9bf27722aea	retval	retval = _copyJsonValueExpr(from);
